Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,10nf,C0603,142.329284,-101.842510,45.000000,top
C5,10nf,C0603,151.086996,-92.894294,45.000000,top
C6,1.0uF,0603,115.713850,-97.700600,90.000000,top
C7,1nF,0603,178.070850,-108.305100,0.000000,top
C17,1nF,0603,187.214850,-109.575100,180.000000,top
C18,1nF,0603,183.785850,-111.226100,180.000000,top
C19,100nF,0603,117.301350,-97.700600,90.000000,top
C20,100nF,0603,148.453546,-70.801032,0.000000,top
C21,1nF,0603,187.214850,-113.385100,180.000000,top
C22,1nF,0603,183.785850,-115.036100,0.000000,top
C23,1nF,0603,187.214850,-102.018600,180.000000,top
C24,1nF,0603,183.785850,-103.669600,180.000000,top
C29,100nF,0603,97.806850,-101.383600,90.000000,top
C30,100nF,0603,88.535850,-101.383600,90.000000,top
C35,100nF,0603,87.011850,-101.383600,90.000000,top
C36,100nF,0603,77.740850,-101.383600,90.000000,top
C38,4.7uF,0603,165.307350,-83.286100,180.000000,top
C42,3.3nf,C0805,110.379850,-90.525100,270.000000,top
C43,33nF,0603,220.679350,-117.258600,270.000000,top
C44,100nF,0603,214.519850,-122.402100,0.000000,top
C45,100nF,0603,215.408850,-120.560600,180.000000,top
C46,100nF,0603,218.647350,-122.402100,0.000000,top
C47,100nF,0603,219.472850,-120.560600,180.000000,top
C50,1nF,0603,187.214850,-105.828600,180.000000,top
C51,1nF,0603,183.785850,-107.479600,180.000000,top
C52,100nF,0603,172.101850,-110.781600,90.000000,top
C53,1.0uF,0603,173.625850,-110.781600,270.000000,top
C54,10nF,0603,175.149850,-110.781600,90.000000,top
C55,1nF,0603,168.799850,-108.305100,0.000000,top
C56,33nF,0603,212.170350,-117.258600,270.000000,top
C57,100nF,0603,206.010850,-122.402100,0.000000,top
C58,100nF,0603,206.899850,-120.560600,180.000000,top
C59,1.0uF,0603,119.269850,-72.935600,90.000000,top
C60,100nF,0603,210.138350,-122.402100,0.000000,top
C61,100nF,0603,117.682350,-72.935600,90.000000,top
C62,100nF,0603,210.963850,-120.560600,180.000000,top
C63,1nF,0603,187.278350,-117.131600,180.000000,top
C64,1nF,0603,183.849350,-118.782600,180.000000,top
C65,1nF,0603,187.278350,-120.941600,180.000000,top
C66,1nF,0603,183.849350,-122.592600,0.000000,top
C67,3.3nf,C0805,110.443350,-95.033600,270.000000,top
C68,33nF,0603,229.188350,-117.258600,270.000000,top
C69,100nF,0603,223.028850,-122.402100,0.000000,top
C70,100nF,0603,223.917850,-120.560600,180.000000,top
C71,100nF,0603,227.156350,-122.402100,0.000000,top
C72,100nF,0603,227.981850,-120.560600,180.000000,top
C73,680pf,C0603,101.489850,-87.604100,180.000000,top
C74,680pf,C0603,102.950350,-98.526100,180.000000,top
C75,47PF,C0402,96.600350,-90.779100,180.000000,top
C76,47PF,C0402,96.600350,-93.890600,180.000000,top
C77,330PF 50V,C0402,98.060850,-87.667600,0.000000,top
C78,330PF 50V,C0402,99.648350,-98.399100,0.000000,top
C79,10nf,C0402,107.649350,-93.890600,90.000000,top
C80,10uf,C0805,88.980350,-94.017600,180.000000,top
C81,10uf,C0805,88.980350,-89.128100,180.000000,top
C82,10nf,C0603,147.234831,-78.779241,135.000000,top
C83,10nf,C0603,143.620618,-75.292029,135.000000,top
C84,10nf,C0603,139.434906,-71.423816,135.000000,top
C85,10nf,C0603,126.359190,-78.985604,135.000000,top
C86,10nf,C0603,120.880140,-84.255972,225.000000,top
C87,10nF,0603,179.721850,-74.840600,180.000000,top
C88,100nF,0603,188.357850,-80.809600,270.000000,top
C89,270PF,0603,181.182350,-71.729100,180.000000,top
C90,10uf,C1206,173.816350,-77.063100,90.000000,top
C92,1.0uF,0603,190.262850,-83.222600,270.000000,top
C93,10uf,C1206,176.610350,-77.063100,90.000000,top
C94,4.7uF,0603,187.659350,-87.794600,90.000000,top
C95,1.0uF,0603,177.118350,-92.684100,0.000000,top
C96,1.0uF,0603,184.865350,-87.477100,180.000000,top
C97,10nf,C0603,124.996934,-94.624525,315.000000,top
C98,22uf,0603,177.118350,-94.208100,0.000000,top
C99,10nf,C0603,135.111487,-103.599304,45.000000,top
C100,4.7uf,C0603,153.305850,-84.529797,45.000000,top
C101,4.7uf,C0603,129.399903,-75.691532,225.000000,top
C102,4.7uf,C0603,128.624496,-98.677760,315.000000,top
C103,4.7uf,C0603,145.387721,-98.765241,45.000000,top
C104,10nf,C0603,152.099350,-91.757904,225.000000,top
C105,2.2uf,C0603,141.349253,-71.721394,315.000000,top
C106,2.2uf,C0603,121.910546,-83.222600,45.000000,top
C107,33pf,C0402,152.917371,-97.171588,135.000000,top
C108,33pf,C0402,149.341546,-100.226835,315.000000,top
C109,10nf,C0603,156.329962,-90.989291,315.000000,top
C110,4.7uF,C0603,155.283921,-89.912435,315.000000,top
C111,10nf,C0603,161.410415,-93.146104,135.000000,top
C112,1uf,C0603,155.782350,-75.793100,270.000000,top
C113,10uf,C1206,133.112850,-114.147100,90.000000,top
C114,100nf,0603,118.571350,-75.412100,0.000000,top
C115,100nF,0603,196.735350,-71.128600,270.000000,top
C116,1uf,C0603,200.910350,-70.928600,180.000000,top
D1,BLUE,LED-0603,165.878850,-119.862100,0.000000,top
D2,SRV05-4.TCT,SOT95P280X145-6N,217.504350,-117.322100,0.000000,top
D3,SM15T33CA,DIOM7959X262N,189.373850,-95.795600,270.000000,top
D4,PESD1CAN,SOT23,149.241850,-121.640100,0.000000,top
D5,SRV05-4.TCT,SOT95P280X145-6N,208.995350,-117.322100,0.000000,top
D6,GREEN,LED-0603,158.893850,-119.862100,0.000000,top
D7,GREEN,LED-0603,169.371350,-119.862100,0.000000,top
D8,RED,LED-0603,162.386350,-119.862100,0.000000,top
D9,SRV05-4.TCT,SOT95P280X145-6N,226.013350,-117.322100,0.000000,top
D10,USBLC6-2SC6,SOT95P280X145-6N,117.364850,-78.079100,180.000000,top
D11,PESD1CAN,SOT23,154.321850,-121.640100,0.000000,top
D12,C8678,SMA-DIODE,185.500350,-83.032100,90.000000,top
D13,C8678,SMA-DIODE,194.199850,-88.683600,180.000000,top
D14,Yellow,LED-0603,172.863850,-119.862100,0.000000,top
D15,SRV05-4.TCT,SOT95P280X145-6N,159.274850,-77.444100,90.000000,top
D22,MBR0520LT1G,SODFL3718X115,108.665350,-82.968600,0.000000,top
FB1,FERRITE_BEAD,BEADC2012X105N,153.178850,-89.382875,45.000000,top
L2,10U,0503,181.944350,-82.397100,180.000000,top
L3,2.2U,L3225M,194.136350,-85.254600,0.000000,top
R1,10K,R0805,170.958850,-97.383100,270.000000,top
R2,2.2K,R0603,187.214850,-103.669600,270.000000,top
R3,2.2K,R0603,187.214850,-111.226100,270.000000,top
R4,2.2K,R0603,187.341850,-115.163100,90.000000,top
R5,3.3K,R0603,183.785850,-109.575100,270.000000,top
R6,3.3K,R0603,183.785850,-113.385100,270.000000,top
R7,3.3K,R0603,183.785850,-102.018600,270.000000,top
R8,100R,R0805,91.901350,-106.908100,0.000000,top
R9,100R,R0805,89.932850,-106.908100,0.000000,top
R10,100R,R0805,95.838350,-106.908100,0.000000,top
R11,100R,R0805,93.869850,-106.908100,0.000000,top
R12,100R,R0805,81.106350,-106.908100,0.000000,top
R13,100R,R0805,79.137850,-106.908100,0.000000,top
R14,100R,R0805,85.043350,-106.908100,0.000000,top
R15,100R,R0805,83.074850,-106.908100,0.000000,top
R18,10K,R0603,223.790850,-101.574100,0.000000,top
R19,10K,R0603,225.314850,-101.574100,0.000000,top
R20,10K,R0603,226.838850,-101.574100,0.000000,top
R21,10K,R0603,228.362850,-101.574100,0.000000,top
R22,10K,R0603,139.843850,-107.860600,90.000000,top
R23,330R,R0402,159.274850,-121.005100,270.000000,top
R24,330R,R0402,162.767350,-121.005100,270.000000,top
R25,330R,R0402,166.259850,-121.005100,270.000000,top
R26,2.2K,R0603,187.278350,-118.782600,270.000000,top
R27,2.2K,R0603,187.405350,-122.719600,90.000000,top
R28,3.3K,R0603,183.849350,-117.131600,270.000000,top
R29,3.3K,R0603,183.849350,-120.941600,270.000000,top
R30,330R,R0402,169.752350,-121.005100,270.000000,top
R31,330R,R0402,173.244850,-121.005100,270.000000,top
R32,2.2K,R0603,136.347062,-71.161888,45.000000,top
R33,12K,R0402,103.013850,-88.048600,180.000000,top
R35,5.6K,R0603,219.853850,-104.622100,180.000000,top
R36,5.6K,R0603,218.329850,-104.622100,180.000000,top
R37,5.6K,R0603,216.805850,-104.622100,180.000000,top
R38,5.6K,R0603,215.281850,-104.622100,180.000000,top
R40,10K,R0603,124.032350,-102.336100,180.000000,top
R41,120R,R0603,120.730350,-104.241100,90.000000,top
R44,2.2K,R0603,187.214850,-107.479600,270.000000,top
R45,3.3K,R0603,183.912850,-105.828600,270.000000,top
R46,12K,R0402,104.474350,-97.954600,0.000000,top
R48,10K,R0805,169.942850,-111.099100,0.000000,top
R49,10K,R0805,167.656850,-111.099100,0.000000,top
R50,10K,R0805,170.958850,-99.415100,270.000000,top
R51,100K,R0402,107.649350,-90.715600,270.000000,top
R53,10K,R0603,215.281850,-101.574100,0.000000,top
R54,10K,R0603,216.805850,-101.574100,0.000000,top
R55,10K,R0603,218.329850,-101.574100,0.000000,top
R56,10K,R0603,219.853850,-101.574100,0.000000,top
R57,5.6K,R0603,211.344850,-104.622100,180.000000,top
R58,5.6K,R0603,209.820850,-104.622100,180.000000,top
R59,5.6K,R0603,208.296850,-104.622100,180.000000,top
R60,5.6K,R0603,206.772850,-104.622100,180.000000,top
R61,100K,R0402,107.649350,-95.033600,270.000000,top
R62,100K,R0402,99.584850,-87.159600,270.000000,top
R63,100K,R0402,101.299350,-98.907100,270.000000,top
R64,22K,R0402,107.649350,-91.858600,90.000000,top
R65,10K,R0603,206.772850,-101.574100,0.000000,top
R66,10K,R0603,126.381850,-75.348600,0.000000,top
R67,10K,R0603,208.296850,-101.574100,0.000000,top
R68,5.6K,R0603,228.362850,-104.622100,180.000000,top
R69,5.6K,R0603,226.838850,-104.622100,180.000000,top
R70,5.6K,R0603,225.314850,-104.622100,180.000000,top
R71,5.6K,R0603,223.790850,-104.622100,180.000000,top
R76,10K,R0805,178.832850,-111.035600,0.000000,top
R77,10K,R0805,176.927850,-111.035600,0.000000,top
R78,10K,R0603,209.820850,-101.574100,0.000000,top
R79,10K,R0603,211.344850,-101.574100,0.000000,top
R81,22K,R0402,107.649350,-92.874600,270.000000,top
R82,33K,R0402,99.584850,-88.239100,270.000000,top
R83,33K,R0402,101.299350,-97.827600,270.000000,top
R84,1K,R0402,119.396850,-115.417100,90.000000,top
R85,1K,R0402,121.301850,-115.417100,270.000000,top
R86,1K,R0402,121.301850,-114.464600,270.000000,top
R87,1K,R0402,119.396850,-114.464600,90.000000,top
R88,10K,R0603,190.135850,-72.999100,0.000000,top
R89,1R,R0603,189.500850,-87.667600,0.000000,top
R90,12K,R0402,184.865350,-72.300600,90.000000,top
R91,68K,R0603,179.848850,-73.316600,270.000000,top
R92,120R,R0603,122.635350,-79.476100,90.000000,top
R93,470K,R0402,107.649350,-89.636100,270.000000,top
R94,470K,R0402,107.649350,-96.113100,270.000000,top
R95,2.2K,R0603,134.908671,-71.796572,225.000000,top
R96,10K,R0603,155.532862,-87.075404,135.000000,top
R97,10K,R0603,128.160625,-102.336872,135.000000,top
R98,10K,R0603,155.782350,-77.317100,90.000000,top
R99,82k,R0603,155.782350,-78.841100,90.000000,top
R100,100K,R0402,115.777350,-74.269100,90.000000,top
R101,10K,R0603,143.354403,-100.832022,45.000000,top
R102,10K,R0603,144.353671,-99.769250,45.000000,top
R1020,330R,R0805,68.152350,-113.702600,90.000000,top
R1021,330R,R0805,68.152350,-122.846600,270.000000,top
R1022,330R,R0805,68.152350,-131.990600,90.000000,top
R1023,330r,R0805,68.152350,-104.558600,90.000000,top
RN1,1K,0603-ARC,99.648350,-114.274100,0.000000,top
RN2,1K,0603-ARC,99.648350,-111.480100,180.000000,top
RN3,1K,0603-ARC,111.840350,-114.274100,0.000000,top
RN4,1K,0603-ARC,111.840350,-111.480100,180.000000,top
RN5,1K,0603-ARC,87.456350,-114.274100,0.000000,top
RN6,1K,0603-ARC,87.456350,-111.480100,180.000000,top
RN7,1K,0603-ARC,93.171350,-97.446600,180.000000,top
RN8,1K,0603-ARC,82.376350,-97.573600,180.000000,top
RN11,10K,0603-ARC,225.124350,-124.815100,180.000000,top
RN13,10K,0603-ARC,216.615350,-124.815100,180.000000,top
RN14,10K,0603-ARC,208.106350,-124.815100,180.000000,top
S1,JS202011SCQN,SW_JS202011SCQN,158.830350,-101.129600,90.000000,top
S3,JS202011SCQN,SW_JS202011SCQN,158.766850,-111.162600,90.000000,top
SW1,SPST_TACT-KMR2,KMR2,159.683703,-91.511375,45.000000,top
SW2,SPST_TACT-KMR2,KMR2,129.369540,-104.502804,225.000000,top
U$1,MCP6002-E_SN,SOIC127P599X175-8N,93.234850,-91.477600,270.000000,top
U1,HC-05,XCVR_HC-05,214.435350,-79.753600,270.000000,top
U2,VNS3NV04DP-E,SOIC127P600X175-8N,96.600350,-119.989100,270.000000,top
U3,VNS3NV04DP-E,SOIC127P600X175-8N,102.696350,-119.989100,270.000000,top
U5,VNS3NV04DP-E,SOIC127P600X175-8N,114.888350,-119.989100,270.000000,top
U6,VNS3NV04DP-E,SOIC127P600X175-8N,108.792350,-119.989100,270.000000,top
U7,VNS3NV04DP-E,SOIC127P600X175-8N,90.504350,-119.989100,270.000000,top
U8,VNS3NV04DP-E,SOIC127P600X175-8N,84.408350,-119.989100,270.000000,top
U9,LPS25HBTR,PQFN60P250X250X80-10N,144.975909,-71.938194,270.000000,top
U10,TLE9201SG,SOP100P1030X260-13N,139.716850,-117.639600,90.000000,top
U11,MIC4427YMM-TR,SOP65P490X110-8N,91.202850,-102.018600,270.000000,top
U12,74HC2G17,SOP65P210X110-6N,178.642350,-119.163600,180.000000,top
U13,MIC4427YMM-TR,SOP65P490X110-8N,95.139850,-102.018600,270.000000,top
U14,MIC4427YMM-TR,SOP65P490X110-8N,80.407850,-102.018600,270.000000,top
U15,MIC4427YMM-TR,SOP65P490X110-8N,84.344850,-102.018600,270.000000,top
U16,REF3033AIDBZR,SOT95P237X112-3N,155.065250,-94.189504,315.000000,top
U17,MCP6004-E_SL,SOIC127P600X175-14N,217.504350,-110.845100,180.000000,top
